vocab,token_id
b'_PAD',0
b'_GO',1
b'_EOS',2
b'_UNK',3
b'_NT',4
b'(',5
b')',6
program,7
sourceElements,8
sourceElement,9
statement,10
functionDeclaration,11
function,12
identifier,13
twoSum,14
(,15
formalParameterList,16
formalParameterArg,17
assignable,18
nums,19
",",20
target,21
),22
functionBody,23
{,24
variableStatement,25
variableDeclarationList,26
varModifier,27
const,28
variableDeclaration,29
map,30
=,31
singleExpression,32
new,33
Map,34
arguments,35
eos,36
iterationStatement,37
for,38
let_,39
let,40
i,41
literal,42
numericLiteral,43
0,44
;,45
expressionSequence,46
<,47
.,48
identifierName,49
length,50
++,51
block,52
statementList,53
complementary,54
-,55
[,56
],57
ifStatement,58
if,59
has,60
argument,61
returnStatement,62
return,63
arrayLiteral,64
elementList,65
arrayElement,66
get,67
},68
expressionStatement,69
set,70
1,71
emptyStatement_,72
isPalindrome,73
x,74
temp,75
reversedNum,76
while,77
>=,78
digit,79
Math,80
floor,81
%,82
10,83
*,84
+,85
/,86
===,87
true,88
false,89
romanToInt,90
s,91
symbols,92
objectLiteral,93
propertyAssignment,94
propertyName,95
"""I""",96
:,97
"""V""",98
5,99
"""X""",100
"""L""",101
50,102
"""C""",103
100,104
"""D""",105
500,106
"""M""",107
1000,108
value,109
assignmentOperator,110
+=,111
-=,112
else,113
longestCommonPrefix,114
strs,115
sort,116
!==,117
substr,118
isValid,119
openB,120
"""",121
"""[""",122
"""{""",123
closeB,124
"""]""",125
"""}""",126
stack,127
c,128
of,129
includes,130
push,131
indexOf,132
!=,133
pop,134
removeDuplicates,135
j,136
removeElement,137
val,138
var,139
zeroStartIdx,140
strStr,141
haystack,142
needle,143
hlen,144
nlen,145
&&,146
diff,147
substring,148
searchInsert,149
l,150
r,151
<=,152
mid,153
2,154
==,155
>,156
maxSubArray,157
result,158
Infinity,159
sum,160
num,161
lengthOfLastWord,162
index,163
',164
plusOne,165
digits,166
lastInteger,167
9,168
pointer,169
--,170
unshift,171
mySqrt,172
leftPointer,173
rightPointer,174
climbStairs,175
n,176
arr,177
null,178
idx,179
merge,180
nums1,181
m,182
nums2,183
nums1_ptr,184
nums2_ptr,185
insert_ptr,186
isHappy,187
hash,188
Set,189
current,190
add,191
isAnagram,192
t,193
count,194
ch,195
addDigits,196
moveZeroes,197
reverseString,198
left,199
right,200
